year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2014,05,051,gender,Male,0.9146171693735498,0.8249908897863627,1,2
2014,05,053,all,All,NA,NA,NA,NA
2014,05,053,gender,Female,NA,NA,NA,NA
2014,05,053,gender,Male,NA,NA,NA,NA
2014,05,055,all,All,0.8703059805285118,0.8133226543845548,0.9272893066724688,3
2014,05,055,gender,Female,0.8789915966386556,0.7970763859835848,0.9609068072937264,3
2014,05,055,gender,Male,0.8610010803024846,0.7812747891931205,0.9407273714118486,3
2014,05,057,all,All,NA,NA,NA,NA
2014,05,057,gender,Female,NA,NA,NA,NA
2014,05,057,gender,Male,NA,NA,NA,NA
