year,state,county,share_medical_debt_coll,share_medical_debt_coll_quality,subgroup_type,subgroup
2023,5,5093,.1510574,1,race-ethnicity,Majority White
2023,5,5095,.0628019,1,race-ethnicity,All
2023,5,5095,NA,NA,race-ethnicity,Majority Non-White
2023,5,5095,.05,1,race-ethnicity,Majority White
2023,5,5097,.0588235,1,race-ethnicity,All
2023,5,5097,NA,NA,race-ethnicity,Majority Non-White
2023,5,5097,.0588235,1,race-ethnicity,Majority White
2023,5,5099,.0846561,1,race-ethnicity,All
2023,5,5099,NA,NA,race-ethnicity,Majority Non-White
2023,5,5099,.0846561,1,race-ethnicity,Majority White
2023,5,5101,.0301724,1,race-ethnicity,All
2023,5,5101,NA,NA,race-ethnicity,Majority Non-White
2023,5,5101,.0301724,1,race-ethnicity,Majority White
2023,5,5103,.0632911,1,race-ethnicity,All
2023,5,5103,NA,NA,race-ethnicity,Majority Non-White
2023,5,5103,.0648968,1,race-ethnicity,Majority White
2023,5,5105,.0384615,1,race-ethnicity,All
2023,5,5105,NA,NA,race-ethnicity,Majority Non-White
